BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Fiala2011-NICOTP-2,2011,On the Psychological Origins of Dualism: Dual-Process Cognition and the Explanatory Gap,"Fiala, Brian, Arico, Adam, Nichols, Shaun",NA,Creating Consilience: Issues and Case Studies in teh Integration of the Sciences and Humanities,INCOLLECTION,NA,,Oxford University Press
Ulatowski2010-ULAFTD,2010,Fixing the Default Position in Knobe's Competence Model,"Ulatowski, Joseph, Johnson, Justus",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001901,,NA
Nagel2012-NAGIAE,2012,Intuitions and Experiments: A Defense of the Case Method in Epistemology,"Nagel, Jennifer",Philosophy and Phenomenological Research,NA,ARTICLE,10.1111/j.1933-1592.2012.00634.x,,Wiley-Blackwell
Schwitzgebel2012-SCHECA-2,2012,Ethicists' Courtesy at Philosophy Conferences,"Schwitzgebel, Eric, Rust, Joshua, Huang, Linus Ta{-}Lun, Moore, Alan T., Coates, D. Justin",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.580524,,NA
Bedke2010-BEDIEI,2010,Intuitional Epistemology in Ethics,"Bedke, Matthew S.",Philosophy Compass,NA,ARTICLE,10.1111/j.1747-9991.2010.00359.x,,Wiley-Blackwell
Feltz2012-FELPII,2012,Perspective in Intentional Action Attribution,"Feltz, Adam, Harris, Maegan, Perez, Ashley",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.627540,,NA
Weinberg2012-WEIRAR-4,2012,"Restrictionism and Reflection: Challenge Deflected, or Simply Redirected?","Weinberg, Jonathan M., Alexander, Joshua, Gonnerman, Chad, Reuter, Shane",The Monist,NA,ARTICLE,10.5840/monist201295212,,The Hegeler Institute
Feltz2011-COKIDI,2011,Individual Differences in Theory-of-Mind Judgments: Order Effects and Side Effects,"Feltz, Adam, Cokely, Edward T.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.556611,,Taylor \& Francis
Miller2011-MILFAT-7,2011,Frankfurt and the Folk: An Experimental Investigation of Frankfurt-Style Cases,"Miller, Jason S., Feltz, Adam",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2010.10.015,,Elsevier
Woolfolk2011-WOOETO,2011,Empirical Tests of Philosophical Intuitions,"Woolfolk, Robert L.",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2011.01.013,,Elsevier
Sripada2011-SRITMT,2011,Telling More Than We Can Know About Intentional Action,"Sripada, Chandra Sekhar, Konrath, Sara",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2011.01421.x,,Blackwell
deBrigard2010-DEBCAA-2,2010,"Consciousness, Attention and Commonsense","de Brigard, F.",Journal of Consciousness Studies,NA,ARTICLE,NA,,Imprint Academic
Schulz2011-SCHPBI-2,2011,Persistent Bias in Expert Judgments About Free Will and Moral Responsibility: A Test of the Expertise Defense,"Schulz, Eric, Cokely, Edward T., Feltz, Adam",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2011.04.007,,Elsevier
Dammbock2012-DAMWDE,2012,Wilhelm Diltheys Empirische Philosophie Und der Rezente Methodenstreit in der Analytischen Philosophie,"Dammböck, Christian",Grazer Philosophische Studien,NA,ARTICLE,10.1163/9789401208338\_008,,Editions Rodopi
Genone2012-GENTOR,2012,Theories of Reference and Experimental Philosophy,"Genone, James",Philosophy Compass,NA,ARTICLE,10.1111/j.1747-9991.2011.00459.x,,Wiley-Blackwell
Alicke2012-ALICCA,2012,Culpable Control and Deviant Causal Chains,"Alicke, Mark, Rose, David",Personality and Social Psychology Compass,NA,ARTICLE,NA,,NA
Starmans2012-STATFC,2012,The Folk Conception of Knowledge,"Starmans, Christina, Friedman, Ori",Cognition,NA,ARTICLE,10.1016/j.cognition.2012.05.017,,Elsevier
Grundmann2010-GRUSHF,2010,Some Hope for Intuitions: A Reply to Weinberg,"Grundmann, Thomas",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.505958,,Taylor \& Francis
Kamber2011-KAMEPO,2011,Experimental Philosophy of Art,"Kamber, Richard",Journal of Aesthetics and Art Criticism,NA,ARTICLE,10.1111/j.1540-6245.2011.01461.x,,NA
Cokely2010-COKQTF,2010,Questioning the Free Will Comprehension Question.,"Cokely, E., Feltz, A.",NA,Proceedings of the 32nd Annual Conference of the Cognitive Science Society,INCOLLECTION,NA,,Cognitive Science Society
Feltz2010-FELDYK,2010,Do You Know More When It Matters Less?,"Feltz, Adam, Zarpentine, Chris",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.514572,,Taylor \& Francis
Knobe2010-KNOEPA-3,2010,Editorial: Psychology and Experimental Philosophy,"Knobe, Joshua, Lombrozo, Tania, Machery, Edouard",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-009-0012-5,,Springer Netherlands
DeBrigard2010-DEBIYL,2010,"If You Like It, Does It Matter If It?s Real?","Brigard, Felipe De",Philosophical Psychology,NA,ARTICLE,10.1080/09515080903532290,,Taylor \& Francis
Huebner2012-HUERRA,2012,"Reflection, Reflex, and Folk Intuitions","Huebner, Bryce",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2011.02.018,,Elsevier
Earp2012-EARTEO-3,2012,The Extinction of Masculine Generics,"Earp, Brian D.",Journal for Communication and Culture,NA,ARTICLE,NA,,NA
Anstey2012-ANSTOO,2012,The Origins of Early Modern Experimental Philosophy,"Anstey, Peter, Vanzo, Alberto",Intellectual History Review,NA,ARTICLE,10.1080/17496977.2012.725552,,NA
Smith2011-SMICWT-2,2011,Can We Test the Experience Machine?,"Smith, Basil",Ethical Perspectives,NA,ARTICLE,NA,,Peeters Press
Cova2012-COVCFA,2012,Can Folk Aesthetics Ground Aesthetic Realism?,"Cova, Florian, Pain, Nicolas",The Monist,NA,ARTICLE,10.5840/monist201295214,,The Hegeler Institute
Alicke2010-ALICCO,2010,Culpable Control or Moral Concepts?,"Alicke, Mark, Rose, David",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001664,,NA
Levy2010-LEVSAT-6,2010,Scientists and the Folk Have the Same Concepts,"Levy, Neil",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001809,,NA
Knobe2010-KNOEDO,2010,Editorial: Dimensions of Experimental Philosophy,"Knobe, Joshua, Lombrozo, Tania, Machery, Edouard",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-010-0037-9,,Springer Netherlands
Beebe2012-BEESFO,2012,Social Functions of Knowledge Attributions,"Beebe, James R.",NA,Knowledge Ascriptions,INCOLLECTION,NA,,Oxford University Press
Schwartzman2012-SCHITE-3,2012,"Intuition, Thought Experiments, and Philosophical Method: Feminism and Experimental Philosophy","Schwartzman, Lisa H.",Journal of Social Philosophy,NA,ARTICLE,10.1111/j.1467-9833.2012.01566.x,,Blackwell
Valero2011-VALLON,2011,"Levy on Neuroscience, Psychology, and Moral Intuitions","Valero, Ion Arrieta",American Journal of Bioethics Neuroscience,NA,ARTICLE,NA,,NA
Womack2012-WOMFBM-3,2012,Feminist Bioethics Meets Experimental Philosophy: Embracing the Qualitative and Experiential,"Womack, Catherine, Mulvaney{-}Day, Norah",International Journal of Feminist Approaches to Bioethics,NA,ARTICLE,10.3138/ijfab.5.1.113,,NA
Sytsma2011-SYTANP,2011,A New Perspective Concerning Experiments on Semantic Intuitions,"Sytsma, Justin, Livengood, Jonathan",Australasian Journal of Philosophy,NA,ARTICLE,10.1080/00048401003639832,,Taylor \& Francis
Chuang2011-CHUCEO,2011,Catholic Ethics of Wealth: A Study of Religious Ethics,"Chuang, John",Philosophy and Culture,NA,ARTICLE,NA,,Monthly Social Philosophy and Culture
Cova2012-COVJAM,2012,Judgments About Moral Responsibility and Determinism in Patients with Behavioural Variant of Frontotemporal Dementia: Still Compatibilists,"Cova, Florian, Bertoux, Maxime, Bourgeois{-}Gironde, Sacha, Dubois, Bruno",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2012.02.004,,Elsevier
Livengood2010-MACPT,2010,Philosophical Temperament,"Livengood, Jonathan, Sytsma, Justin, Feltz, Adam, Scheines, Richard, Machery, Edouard",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.490941,,Taylor \& Francis
Paul2010-PAUNRF,2010,A New Role for Experimental Work in Metaphysics,"Paul, L. A.",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-010-0034-z,,Springer Netherlands
Kamber2011-KAMPFA,2011,Philosophy?s Future as a Problem-Solving Discipline,"Kamber, Richard",Essays in Philosophy,NA,ARTICLE,10.5840/eip20111227,,Pacific University
Vanhonacker2010-VANCVO,2010,"Citizens' Views on Farm Animal Welfare and Related Information Provision: Exploratory Insights From Flanders, Belgium","Vanhonacker, Filiep, Poucke, Els Van, Tuyttens, Frank, Verbeke, Wim",Journal of Agricultural and Environmental Ethics,NA,ARTICLE,10.1007/s10806-010-9235-9,,Springer
Campbell2012-CAMMRO,2012,Moral Reasoning on the Ground,"Campbell, Richmond, Kumar, Victor",Ethics,NA,ARTICLE,10.1086/663980,,NA
Leslie2012-LESQSA,2012,Quantified Statements Are Recalled as Generics: Evidence From Preschool Children and Adults,"Leslie, Sarah{-}Jane, Gelman, Susan",Cognitive Psychology,NA,ARTICLE,NA,,NA
Nahmias2011-NAHIAF,2011,"Intuitions About Free Will, Determinism, and Bypassing","Nahmias, Eddy",NA,The Oxford Handbook of Free Will: Second Edition,INCOLLECTION,NA,,Oup Usa
Gasparatou2010-GASEAT-5,2010,Experimental Appeals to Intuition,"Gasparatou, Renia",Critica,NA,ARTICLE,NA,,Instituto de Investigaciones Filosóficas
Knobe2011-KNOFTM,2011,Finding the Mind in the Body,"Knobe, Joshua",NA,Future Science: Essays from the Cutting Edge,INCOLLECTION,NA,,Random House
Sytsma2012-SYTTTS,2012,The Two Sources of Moral Standing,"Sytsma, Justin, Machery, Edouard",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-012-0102-7,,Springer Verlag
Williamson2011-WILPEA-3,2011,Philosophical Expertise and the Burden of Proof,"Williamson, Timothy",Metaphilosophy,NA,ARTICLE,10.1111/j.1467-9973.2011.01685.x,,Blackwell
Scanlon2010-SCAAOQ,2010,"Ambiguity of ""Intention""","Scanlon, Thomas M.",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001858,,NA
Guglielmo2010-GUGEST,2010,Enough Skill to Kill: Intentionality Judgments and the Moral Valence of Action,"Guglielmo, Steve, Malle, Bertram F.",Cognition,NA,ARTICLE,10.1016/j.cognition.2010.08.002,,NA
Cushman2010-CUSMMP,2010,Multi-System Moral Psychology,"Cushman, Fiery, Young, Liane, Greene, Joshua D.",NA,Moral Psychology Handbook,INCOLLECTION,NA,,Oxford University Press
Zalla2011-ZALJOI,2011,Judgment of Intentionality and Moral Evaluation in Individuals with High Functioning Autism,"Zalla, Tiziana, Leboyer, Marion",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-011-0048-1,,Springer Verlag
May2010-MAYRO_-3,2010,Review of \emph{Experimental Philosophy} Ed. By Knobe \& Nichols,"May, Joshua",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.515656,,NA
Roberts2012-ROBIDO-4,2012,"In Defense of Incompatibility, Objectivism, and Veridicality About Color","Roberts, Pendaran, Schmidtke, Kelly",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-012-0114-3,,Springer Verlag
Rose2012-ROSGS,2012,Causation: Empirical Trends and Future Directions,"Rose, David, Danks, David",Philosophy Compass,NA,ARTICLE,10.1111/j.1747-9991.2012.00503.x,,Wiley-Blackwell
Wright2010-WRIOIS,2010,"On Intuitional Stability: The Clear, the Strong, and the Paradigmatic","Wright, Jennifer Cole",Cognition,NA,ARTICLE,10.1016/j.cognition.2010.02.003,,NA
Sytsma2012-SYTTTO-2,2012,Two Types of Typicality: Rethinking the Role of Statistical Typicality in Ordinary Causal Attributions,"Sytsma, Justin, Livengood, Jonathan, Rose, David",Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,NA,ARTICLE,10.1016/j.shpsc.2012.05.009,,Elsevier
Huebner2011-HAUMJA,2011,Moral Judgments About Altruistic Self-Sacrifice: When Philosophical and Folk Intuitions Clash,"Huebner, Bryce, Hauser, Marc D.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.534447,,Taylor \& Francis
Fugard2011-PFEHPI,2011,How People Interpret Conditionals: Shifts Towards the Conditional Event,"Fugard, A. J. B., Pfeifer, Niki, Mayerhofer, B., Kleiter, Gernot D.",Journal of Experimental Psychology,NA,ARTICLE,NA,,NA
Devitt2012-DEVSER-4,2012,Semantic Epistemology: Response to Machery,"Devitt, Michael",Theoria,NA,ARTICLE,10.1387/theoria.6225,,University of the Basque Country
Machery2010-MACVII-2,2010,Variation in Intuitions About Reference and Ontological Disagreements,"Machery, Edouard",NA,A Companion to Relativism,INCOLLECTION,NA,,Wiley-Blackwell
Holton2010-HOLNAT-2,2010,Norms and the Knobe Effect,"Holton, Richard",Analysis,NA,ARTICLE,10.1093/analys/anq037,,NA
Gintis2010-GINMOW,2010,Modalities of Word Usage in Intentionality and Causality,"Gintis, Herbert",Brain and Behavioral Sciences,NA,ARTICLE,10.1017/s0140525x10001731,,NA
Alfano2012-ALFEMP-2,2012,Experimental Moral Philosophy,"Alfano, Mark, Loeb, Don",NA,Stanford Encyclopedia of Philosophy,INCOLLECTION,NA,,Stanford Encyclopedia of Philosophy
Faraci2010-FARIDS,2010,"Insanity, Deep Selves, and Moral Responsibility: The Case of Jojo","Faraci, David, Shoemaker, David",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-010-0026-z,,Springer Netherlands
Strickland2012-STREPT,2012,Experimenter Philosophy: The Problem of Experimenter Bias in Experimental Philosophy,"Strickland, Brent, Suben, Aysu",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-012-0100-9,,Springer Verlag
McGuire2012-MCGSAA,2012,"Side-Effect Actions, Acting for a Reason, and Acting Intentionally","McGuire, John Michael",Philosophical Explorations,NA,ARTICLE,10.1080/13869795.2012.696130,,Routledge
DeRose2011-DERCCA,2011,"Contextualism, Contrastivism, and X-Phi Surveys","DeRose, Keith",Philosophical Studies,NA,ARTICLE,10.1007/s11098-011-9799-x,,Springer Verlag
Szmuc2012-SZMANH,2012,A New Hope for Philosophers' Appeal to Intuition,"Szmuc, Damián Enrique",Essays in Philosophy,NA,ARTICLE,10.5840/eip201213119,,Pacific University
Lam2010-LAMACS,2010,Are Cantonese Speakers Really Descriptivists? Revisiting Cross-Cultural Semantics,"Lam, Barry",Cognition,NA,ARTICLE,10.1016/j.cognition.2009.12.018,,NA
Tiberius2011-TIBWRA,2011,Wisdom Revisited: A Case Study in Normative Theorizing,"Tiberius, Valerie, Swartwood, Jason",Philosophical Explorations,NA,ARTICLE,10.1080/13869795.2011.594961,,Taylor \& Francis
Chemla2011-CHEMAI,2011,Modularity and Intuitions in Formal Semantics: The Case of Polarity Items,"Chemla, Emmanuel, Homer, Vincent, Rothschild, Daniel",Linguistics and Philosophy,NA,ARTICLE,10.1007/s10988-012-9106-0,,Springer Verlag
Knobe2012-KNOEP-4,2012,Experimental Philosophy,"Knobe, Joshua, Buckwalter, Wesley, Nichols, Shaun, Robbins, Philip, Sarkissian, Hagop, Sommers, Tamler",Annual Review of Psychology,NA,ARTICLE,10.1146/annurev-psych-120710-100350,,Oxford University Press
Stich2010-STIPAW,2010,Philosophy and Weird Intuition,"Stich, Stephen",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10000257,,NA
Beebe2010-BEEMRI,2010,Moral Relativism in Context,"Beebe, James R.",Noûs,NA,ARTICLE,10.1111/j.1468-0068.2010.00763.x,,Blackwell
Smallman2011-SMANRF,2011,Naïve Realism: Folk Fallacies in the Design and Use of Visual Displays,"Smallman, Harvey S., Cook, Maia B.",Topics in Cognitive Science,NA,ARTICLE,10.1111/j.1756-8765.2010.01114.x,,NA
Alexander2012-ALEEPA-4,2012,Experimental Philosophy: An Introduction,"Alexander, Joshua",NA,NA,BOOK,NA,,Polity
Goodwin2012-GOOWAS,2012,Why Are Some Moral Beliefs Perceived to Be More Objective Than Others,"Goodwin, Geoffrey, Darley, John",Journal of Experimental Social Psychology,NA,ARTICLE,NA,,Elsevier
Arico2010-ARIFPC,2010,"Folk Psychology, Consciousness, and Context Effects","Arico, Adam",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-010-0029-9,,Springer Netherlands
Reuter2011-REUDTA,2011,Distinguishing the Appearance From the Reality of Pain,"Reuter, Kevin",Journal of Consciousness Studies,NA,ARTICLE,NA,,Imprint Academic
Nanay2010-NANMOM,2010,Morality or Modality?: What Does the Attribution of Intentionality Depend On?,"Nanay, Bence",Canadian Journal of Philosophy,NA,ARTICLE,10.1353/cjp.0.0087,,University of Calgary Press
Nichols2010-BRUIAP,2010,Intuitions About Personal Identity: An Empirical Study,"Nichols, Shaun, Bruno, Michael",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.490939,,Taylor \& Francis
Brandone2012-BRADLH,2012,"Do Lions Have Manes? For Children, Generics Are About Kinds, Not Quantities","Brandone, Amanda, Cimpian, Andrei, Leslie, Sarah{-}Jane, Gelman, Susan",Child Development,NA,ARTICLE,NA,,NA
Nadelhoffer2011-NADEE,2011,Experimental Ethics,"Nadelhoffer, Thomas, Sinnott{-}Armstrong, Walter",NA,Continuum Companion to Ethics,INCOLLECTION,NA,,Continuum
Horvath2012-HOREPA,2012,Experimental Philosophy and its Critics,NA,NA,NA,BOOK,NA,,Routledge
Kuntz2011-KUNSPA-2,2011,Surveying Philosophers About Philosophical Intuition,"Kuntz, J. R., Kuntz, J. R. C.",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-011-0047-2,,Springer Verlag
Sosa2011-SOSCTB,2011,Can There Be a Discipline of Philosophy? And Can It Be Founded on Intuitions?,"Sosa, Ernest",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2011.01426.x,,Wiley-Blackwell
Riesch2010-RIESOS,2010,Simple or Simplistic? Scientists' Views on Occam's Razor,"Riesch, Hauke","Theoria: Revista de Teoría, Historia y Fundamentos de la Ciencia",NA,ARTICLE,10.1387/theoria.489,,Universidad Del País Vasco
Ichikawa2012-ICHEPA,2012,Experimentalist Pressure Against Traditional Methodology,"Ichikawa, Jonathan Jenkins",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.625118,,NA
May2012-MAYWIT,2012,What in the World is Weakness of Will?,"May, Joshua, Holton, Richard",Philosophical Studies,NA,ARTICLE,10.1007/s11098-010-9651-8,,Springer Verlag
Clavien2012-CLACMP-4,2012,Choosy Moral Punishers,"Clavien, Christine, Tanner, Colby, Clément, Fabrice, Chapuisat, Michel",PLoS ONE,NA,ARTICLE,NA,,NA
Sripada2010-SRITDS-2,2010,The Deep Self Model and Asymmetries in Folk Judgments About Intentional Action,"Sripada, Chandra Sekhar",Philosophical Studies,NA,ARTICLE,10.1007/s11098-009-9423-5,,Springer
Sytsma2012-SYTEPA-2,2012,Experimental Philosophy and Philosophical Disputes,"Sytsma, Justin, Livengood, Jonathan",Essays in Philosophy,NA,ARTICLE,10.5840/eip20121319,,NA
Pellizzoni2010-PELBAM-2,2010,Beliefs and Moral Valence Affect Intentionality Attributions: The Case of Side Effects,"Pellizzoni, Sandra, Girotto, Vittorio, Surian, Luca",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-009-0008-1,,Springer Netherlands
Young2011-YOUTPO-5,2011,The Paradox of Moral Focus,"Young, Liane, Phillips, Jonathan",Cognition,NA,ARTICLE,10.1016/j.cognition.2011.01.004,,NA
Strickland2012-STRMSF,2012,Moral Structure Falls Out of General Event Structure,"Strickland, Brent, Fisher, Matt, Knobe, Joshua",Psychological Inquiry,NA,ARTICLE,NA,,NA
Leslie2011-LESADL,2011,All Ducks Lay Eggs: The Generic Overgeneralization Effect,"Leslie, Sarah{-}Jane, Khemlani, Sangeet, Glucksberg, Sam",Journal of Memory and Language,NA,ARTICLE,10.1016/j.jml.2010.12.005.,,NA
Menzies2010-MENNCA,2010,"Norms, Causes, and Alternative Possibilities","Menzies, Peter",Behavioral and Brain Sciences,NA,ARTICLE,10.1017/s0140525x10001834,,NA
Huvenes2012-HUVBRE,2012,Book Review: Experimental Philosophy: An Introduction by Joshua Alexander,"Huvenes, Torfinn Thomesen",Notre Dame Philosophical Reviews,NA,ARTICLE,NA,,NA
Wahman2011-WAHEWE-2,2011,Experimenting with Ethics in the Twenty-First Century,"Wahman, Jessica",Journal of Speculative Philosophy,NA,ARTICLE,10.5325/jspecphil.25.1.0033,,NA
Legg2010-CATEP,2010,Engineering Philosophy,"Legg, Catherine",International Journal of Machine Consciousness,NA,ARTICLE,10.1142/s1793843010000369,,NA
Stillman2011-MELFWI,2011,Free Will in Everyday Life: Autobiographical Accounts of Free and Unfree Actions,"Stillman, Tyler F., Baumeister, Roy F., Mele, Alfred R.",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2011.556607,,Taylor \& Francis
Dorsch2011-DORTAR-4,2011,The Aesthetic Relevance of Empirical Findings,"Dorsch, Fabian",Kongress-Akten der Deutschen Gesellschaft Für Ästhetik,NA,ARTICLE,NA,,NA
Huebner2010-HUEWDT,2010,What Does the Nation of China Think About Phenomenal States?,"Huebner, Bryce, Bruno, Michael, Sarkissian, Hagop",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-009-0009-0,,Springer Netherlands
Horvath2010-HORHNT-2,2010,How (Not) to React to Experimental Philosophy,"Horvath, Joachim",Philosophical Psychology,NA,ARTICLE,10.1080/09515089.2010.505878,,Taylor \& Francis
Pizarro2011-PIZODA,2011,On Disgust and Moral Judgment,"Pizarro, David, Inbar, Yoel, Helion, Chelsea",Emotion Review,NA,ARTICLE,10.1177/1754073911402394,,Sage Publications
Phelan2012-PHETMC,2012,The Moral Cognition/Consciousness Connection,"Phelan, Mark, Waytz, Adam",Review of Philosophy and Psychology,NA,ARTICLE,10.1007/s13164-012-0110-7,,Springer Verlag
Sarkissian2010-CHAIBI-2,2010,Is Belief in Free Will a Cultural Universal?,"Sarkissian, Hagop, Chatterjee, Amita, de Brigard, Felipe, Knobe, Joshua, Nichols, Shaun, Sirker, Smita",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2010.01393.x,,Blackwell
Caffo2012-CAFLMD-2,2012,L'architettura Morale Della Città,"Caffo, Leonardo",BLOOM - Trimestrale di Architettura 15,NA,ARTICLE,NA,,NA
Thomasson2012-THOEPA-3,2012,Experimental Philosophy and the Methods of Ontology,"Thomasson, Amie L.",The Monist,NA,ARTICLE,10.5840/monist201295211,,The Hegeler Institute
Knobe2010-JOSATA,2010,Action Trees and Moral Judgment,"Knobe, Joshua",Topics in Cognitive Science,NA,ARTICLE,10.1111/j.1756-8765.2010.01093.x,,NA
Phelan2012-PHEEPA,2012,Experimental Philosophy as an Elephant,"Phelan, Mark",Philosophy Now,NA,ARTICLE,NA,,Anja Publications Ltd
Marti2012-MAREDA-10,2012,Empirical Data and the Theory of Reference,"Marti, Genoveva",NA,"Reference and Referring: Topics in Contemporary Philosophy, Volume 10",INCOLLECTION,NA,,MIT Press
