BIBTEXKEY,DATE,TITLE,AUTHOR,JOURNALTITLE,BOOKTITLE,CATEGORY,DOI,EDITOR,PUBLISHER
Pfeifer2009-PFEFHI,2009,Framing Human Inference by Coherence Based Probability Logic,"Pfeifer, Niki, Kleiter, Gernot D.",Journal of Applied Logic,NA,ARTICLE,10.1016/j.jal.2007.11.005,,NA
Talbot2009-TALPAT-3,2009,Psychology and the Use of Intuitions in Philosophy,"Talbot, Brian",Studia Philosophica Estonica,NA,ARTICLE,10.12697/spe.2009.2.2.09,,NA
Guglielmo2009-GUGATH,2009,At the Heart of Morality Lies Folk Psychology,"Guglielmo, Steve, Monroe, Andrew E., Malle, Bertram F.",Inquiry: An Interdisciplinary Journal of Philosophy,NA,ARTICLE,10.1080/00201740903302600,,Taylor \& Francis
Weinberg2009-WEITXU-2,2009,The X-Phi(Les): Unusual Insights Into the Nature of Inquiry,"Weinberg, Jonathan M., Crowley, Stephen",Studies in History and Philosophy of Science Part A,NA,ARTICLE,10.1016/j.shpsa.2009.03.016,,Elsevier
Vitell2009-VITRAM-2,2009,Religiosity and Moral Identity: The Mediating Role of Self-Control,"Vitell, Scott John, Bing, Mark N., Davison, H. Kristl, Ammeter, Anthony P., Garner, Bart L., Novicevic, Milorad M.",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-008-9980-0,,Springer Verlag
OLeary2007-OLETEO-6,2007,The Effect of Groupwork on Ethical Decision-Making of Accountancy Students,"O?Leary, Conor, Pangemanan, Gladies",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-006-9248-5,,Springer
Feltz2009-FELEP-2,2009,Experimental Philosophy,"Feltz, Adam",Polish Journal of Philosophy,NA,ARTICLE,10.5840/pjphil2009319,,Jagiellonian University
Fugard2009-FUGHPI,2009,How People Interpret an Uncertain If,"Fugard, A. J. B., Pfeifer, Niki, Mayerhofer, B., Kleiter, G. D.",NA,Proceedings of the 8th Workshop on Uncertainty Processing,INCOLLECTION,NA,,NA
Lanteri2008-LANAEI-5,2008,An Experimental Investigation of Emotions and Reasoning in the Trolley Problem,"Lanteri, Alessandro, Chelini, Chiara, Rizzello, Salvatore",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-008-9665-8,,Springer
Cushman2008-CUSIA,2008,Intentional Action : Two-and-a-Half Folk Concepts?,"Cushman, Fiery, Mele, Alfred",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Sinnott-Armstrong2008-SINMP,2008,"Moral Psychology, 3 Vols.",NA,NA,NA,BOOK,NA,,MIT Press
deVries2009-MARREA-2,2009,Reflective Equilibrium and Empirical Data: Third Person Moral Experiences in Empirical Medical Ethics,"de Vries, Martine, van Leeuwen, Evert",Bioethics,NA,ARTICLE,10.1111/j.1467-8519.2009.01721.x,,Blackwell
Nichols2009-NICHCP,2009,How Can Psychology Contribute to the Free Will Debate?,"Nichols, Shaun",NA,Psychology and Free Will,INCOLLECTION,NA,,Oxford University Press
Sytsma2009-SYTEOT,2009,Experiments on the Folk Theory of Consciousness,"Sytsma, Justin",NA,NA,UNPUBLISHED,NA,,NA
Appiah2008-APPEIE,2008,Experiments in Ethics,"Appiah, Anthony",NA,NA,BOOK,NA,,Harvard University Press
Griffiths2009-GRITVC,2009,The Vernacular Concept of Innateness,"Griffiths, Paul, Machery, Edouard, Linquist, Stefan",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2009.01376.x,,Blackwell
Jackson2008-JACROJ,2008,"Review of Knobe \& Shaun Nichols (Eds.), \emph{Experimental Philosophy}","Jackson, Frank",Notre Dame Philosophical Reviews,NA,ARTICLE,NA,,NA
Appiah2008-APPEP,2008,Experimental Philosophy,"Appiah, Kwame Anthony",Proceedings and Addresses of the American Philosophical Association,NA,ARTICLE,NA,,American Philosophical Association
Feltz2007-KNOTKE,2007,The Knobe Effect: A Brief Overview,"Feltz, Adam",Journal of Mind and Behavior,NA,ARTICLE,NA,,"The Institute of Mind and Behavior, Inc."
Jackman2008-JACSIC,2008,"Semantic Intuitions, Conceptual Analysis, and Cross-Cultural Variation","Jackman, Henry",Philosophical Studies,NA,ARTICLE,10.1007/s11098-008-9249-6,,Springer
Zollman2007-ZOLTCS,2007,The Communication Structure of Epistemic Communities,"Zollman, Kevin J. S.",Philosophy of Science,NA,ARTICLE,10.1086/525605,,University of Chicago Press
Mele2007-MELIAF,2007,"Intentional Action, Folk Judgments, and Stories: Sorting Things Out","Mele, Alfred R., Cushman, Fiery",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00147.x,,NA
Nadelhoffer2009-THOTAI,2009,Temperament and Intuition: A Commentary on Feltz and Cokely,"Nadelhoffer, Thomas, Kvaran, Trevor, Nahmias, Eddy",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2008.11.006,,Elsevier
Rachlinski2007-RACDUR,2007,Does Unconscious Racial Bias Affect Trial Judges,"Rachlinski, Jeffrey J., Johnson, Sheri Lynn, Wistrich, Andrew J., Guthrie, Chris",NA,NA,UNPUBLISHED,NA,,NA
Levy2008-LEVRO_-2,2008,Review of \emph{Experimental Philosophy},"Levy, Neil",Metapsychology,NA,ARTICLE,NA,,NA
Ludwig2007-LUDTEO,2007,The Epistemology of Thought Experiments: First Person Versus Third Person Approaches,"Ludwig, Kirk",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00160.x,,Wiley-Blackwell
Spiteri2009-SPIPFC,2009,Philosophy for Children. Appraising its Impact on College Level Students,"Spiteri, Damian",Childhood and Philosophy,NA,ARTICLE,NA,,State University of Rio de Janeiro
Desplaces2007-DESTIO-11,2007,The Impact of Business Education on Moral Judgment Competence: An Empirical Study,"Desplaces, David E., Melchar, David E., Beauvais, Laura L., Bosco, Susan M.",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-006-9221-3,,Springer
Nichols2007-NICAIA,2007,After Incompatibilism: A Naturalistic Defense of the Reactive Attitudes,"Nichols, Shaun",Philosophical Perspectives,NA,ARTICLE,10.1111/j.1520-8583.2007.00131.x,,Blackwell
DeBrigard2008-DEBRAT,2008,Responsibility and the Brain Sciences,"Brigard, Felipe De, Mandelbaum, Eric, Ripley, David",Ethical Theory and Moral Practice,NA,ARTICLE,10.1007/s10677-008-9143-5,,Springer
Knobe2007-KNOFPS,2007,Folk Psychology: Science and Morals,"Knobe, Joshua",NA,Folk Psychology Re-Assessed,INCOLLECTION,NA,,Springer Press
Livengood2007-LIVTFP,2007,The Folk Probably Don?T Think What You Think They Think: Experiments on Causation by Absence,"Livengood, Jonathan, Machery, Edouard",Midwest Studies in Philosophy,NA,ARTICLE,10.1111/j.1475-4975.2007.00150.x,,NA
Feltz2008-FELTRO-4,2008,The Relevance of Folk Intuitions to Philosophical Debates,"Feltz, Adam",NA,NA,THESIS,NA,,NA
Feltz2009-FELEP-3,2009,Experimental Philosophy,"Feltz, Adam",Analyse \& Kritik,NA,ARTICLE,10.1515/auk-2009-0201,,Lucius \& Lucius Verlagsgesellschaft Mbh
Phelan2009-PHEITT,2009,Is the 'Trade-Off Hypothesis' Worth Trading For?,"Phelan, Mark, Sarkissian, Hagop",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2008.01358.x,,Wiley-Blackwell
Knobe2009-KNOTOC-2,2009,The Ordinary Concept of Valuing,"Knobe, Joshua, Preston{-}Roedder, Erica",Philosophical Issues,NA,ARTICLE,10.1111/j.1533-6077.2009.00162.x,,Blackwell
Weigel2009-WEIEPI,2009,Experimental Philosophy is Here to Stay,"Weigel, Chris",Analyse \& Kritik,NA,ARTICLE,10.1515/auk-2009-0202,,Lucius \& Lucius
Machery2008-MACTFC,2008,The Folk Concept of Intentional Action: Philosophical and Experimental Issues,"Machery, Edouard",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2007.00336.x,,Blackwell
Nichols2008-NICMRA-4,2008,Moral Responsibility and Determinism: The Cognitive Science of Folk Intuitions,"Nichols, Shaun, Knobe, Joshua",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
McCabe2008-MCCNAT-5,2008,Neuroeconomics and the Economic Sciences,"McCabe, Kevin A.",Economics and Philosophy,NA,ARTICLE,10.1017/s0266267108002010,,Cambridge University Press
Mallon2008-MALAAF-2,2008,Knobe Vs Machery: Testing the Trade-Off Hypothesis,"Mallon, Ron",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2007.00339.x,,Wiley-Blackwell
Berker2009-BERTNI,2009,The Normative Insignificance of Neuroscience,"Berker, Selim",Philosophy and Public Affairs,NA,ARTICLE,10.1111/j.1088-4963.2009.01164.x,,Blackwell
Cokely2008-COKIDJ,2008,"Individual Differences, Judgment Biases, and Theory-of-Mind: Deconstructing the Intentional Action Side Effect Asymmetry","Cokely, Edward, Feltz, Adam",Journal of Research in Personality,NA,ARTICLE,NA,,NA
Wible2008-WIBKSE,2008,"Knobe, Side Effects, and the Morally Good Business","Wible, Andy",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-008-9936-4,,Springer
Garcia2009-GARRPS-2,2009,Reconsidering Prenatal Screening: An Empirical-Ethical Approach to Understand Moral Dilemmas as a Question of Personal Preferences,"Garcia, E., Timmermans, D. R. M., van Leeuwen, E.",Journal of Medical Ethics,NA,ARTICLE,10.1136/jme.2008.026880,,NA
Hindriks2008-HINIAA,2008,Intentional Action and the Praise-Blame Asymmetry,"Hindriks, Frank",Philosophical Quarterly,NA,ARTICLE,10.1111/j.1467-9213.2007.551.x,,Wiley-Blackwell
Aguilar2009-AGUPOA,2009,Philosophy of Action: 5 Questions,NA,NA,NA,BOOK,NA,,Automatic Press/VIP
Weinberg2009-WEIODB,2009,"On Doing Better, Experimental-Style","Weinberg, Jonathan M.",Philosophical Studies,NA,ARTICLE,10.1007/s11098-009-9405-7,,Springer
Lever2008-LEVIIE,2008,Is It Ethical to Patent Human Genes?,"Lever, Annabelle",NA,Intellectual Property and Theories of Justice,INCOLLECTION,NA,,Basingstoke \& N.Y.: Palgrave McMillan
Cushman2009-CUSTPO-6,2009,The Psychology of Dilemmas and the Philosophy of Morality,"Cushman, Fiery, Young, Liane",Ethical Theory and Moral Practice,NA,ARTICLE,10.1007/s10677-008-9145-3,,Springer
Meskin2009-MESMET,2009,Mere Exposure to Bad Art,"Meskin, Aaron, Phelan, Mark, Moore, Margaret, Kieran, Matthew",British Journal of Aesthetics,NA,ARTICLE,10.1093/aesthj/ays060,,NA
Weinberg2009-WEILCA,2009,Loose Constitutivity and Armchair Philosophy,"Weinberg, Jonathan M., Crowley, Stephen J.",Studia Philosophica Estonica,NA,ARTICLE,10.12697/spe.2009.2.2.10,,NA
2008-SCS,2008,"Semantics, Cross-Cultural Style","[, Edouard Machery .",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Marta2008-MARAEC-3,2008,An Exploratory Comparison of Ethical Perceptions of Mexican and U.S. Marketers,"Marta, Janet, Heiss, Christina M., Lurgio, Steven A. De",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-007-9575-1,,Springer
Pellizzoni2009-PELFCA,2009,"Foreknowledge, Caring and the Side-Effect Effect in Young Children","Pellizzoni, Sandra",Developmental Psychology,NA,ARTICLE,NA,,NA
Knobe2009-KNOTOC,2009,The Ordinary Concept of Valuing,"Knobe, Joshua, Roedder, Erica",NA,Metaethics,INCOLLECTION,NA,,Wiley Periodicals
Knobe2008-KNOCAR,2008,"Can a Robot, an Insect or God Be Aware?","Knobe, Joshua",Scientific American,NA,ARTICLE,NA,,NA
Malle2009-MALFTO-3,2009,Folk Theories of Consciousness,"Malle, Bertram F.",NA,Encyclopedia of Consciousness,INCOLLECTION,NA,,Elsevier
Nichols2009-NICVIE-2,2009,Variations in Ethical Intuitions,"Nichols, Shaun, Zamzow, Jennifer L.",NA,Metaethics,INCOLLECTION,NA,,Wiley Periodicals
Hitchcock2009-HITCAN,2009,Cause and Norm,"Hitchcock, Christopher, Knobe, Joshua",Journal of Philosophy,NA,ARTICLE,10.5840/jphil20091061128,,Journal of Philosophy Inc
Feltz2008-FELPWT,2008,Problems with the Appeal to Intuition in Epistemology,"Feltz, Adam",Philosophical Explorations,NA,ARTICLE,10.1080/13869790802015650,,Routledge
Cushman2008-KNOMAA-2,2008,Moral Appraisals Affect Doing/Allowing Judgments,"Cushman, Fiery, Knobe, Joshua, Sinnott{-}Armstrong, Walter",Cognition,NA,ARTICLE,10.1016/j.cognition.2008.02.005,,NA
Griffiths2008-GRIEPO,2008,Experimental Philosophy of Science,"Griffiths, Paul E., Stotz, Karola",Philosophy Compass,NA,ARTICLE,10.1111/j.1747-9991.2008.00133.x,,Wiley-Blackwell
Avigad2009-AVIMGV,2009,Marcus Giaquinto. Visual Thinking in Mathematics: An Epistemological Study,"Avigad, Jeremy",Philosophia Mathematica,NA,ARTICLE,10.1093/philmat/nkn033,,Oxford University Press
Williamson2009-WILRTK,2009,"Replies to Kornblith, Jackson and Moore","Williamson, Timothy",Analysis,NA,ARTICLE,10.1093/analys/ann041,,Oxford University Press
Gray2009-GRAMTD,2009,Moral Typecasting: Divergent Perceptions of Moral Agents and Moral Patients,"Gray, Kurt, Wegner, Daniel",Journal of Personality and Social Psychology,NA,ARTICLE,NA,,NA
Machery2009-MACLAM-8,2009,Linguistic and Metalinguistic Intuitions in the Philosophy of Language,"Machery, Edouard, Olivola, Christopher Y., de Blanc, Molly",Analysis,NA,ARTICLE,10.1093/analys/anp095,,Oxford University Press
Alicke2008-ALIBB,2008,Blaming Badly,"Alicke, Mark",Journal of Cognition and Culture,NA,ARTICLE,10.1163/156770908x289279,,Brill Academic Publishers
Feltz2009-FELEP,2009,Experimental Philosophy,"Feltz, Adam",Analyze and Kritik,NA,ARTICLE,10.5840/pjphil2009319,,Jagiellonian University
Feltz2009-ADADJA,2009,Do Judgments About Freedom and Responsibility Depend on Who You Are? Personality Differences in Intuitions About Compatibilism and Incompatibilism,"Feltz, Adam, Cokely, Edward T.",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2008.08.001,,Elsevier
Cokely2009-EDWAVI,2009,Adaptive Variation in Judgment and Philosophical Intuition,"Cokely, Edward T., Feltz, Adam",Consciousness and Cognition,NA,ARTICLE,10.1016/j.concog.2009.01.001,,Elsevier
Knobe2007-KNOEP-5,2007,Experimental Philosophy,"Knobe, Joshua",The Philosophers' Magazine,NA,ARTICLE,NA,,Equinox Publishing
Cuillier2009-DAVMME,2009,"Mortality Morality: Effect of Death Thoughts on Journalism Students' Attitudes Toward Relativism, Idealism, and Ethics","Cuillier, David",Journal of Mass Media Ethics,NA,ARTICLE,10.1080/08900520802644394,,Taylor \& Francis
Intuitions2008-INTPIR,2008,"Part Ii Responsibility, Determinism, and Lay Intuitions","Intuitions, Lay",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Cowley-Cunningham2007-COWRAC-2,2007,Reasoning About Criminal Evidence: Revealing Probabilistic Reasoning Behind Logical Conclusions,"Cowley{-}Cunningham, Michelle B.",NA,SSRN E-Library Maurer School of Law Law and Society eJournals,INCOLLECTION,NA,,NA
Nadelhoffer2008-NADPAP-3,2008,Polling as Pedagogy,"Nadelhoffer, Thomas, Nahmias, Eddy",Teaching Philosophy,NA,ARTICLE,10.5840/teachphil20083113,,Philosophy Documentation Center
Levin2009-LEVEP,2009,Experimental Philosophy,"Levin, Janet",Analysis,NA,ARTICLE,10.1093/analys/anp104,,Oxford University Press
Liyanarachchi2009-LIYTIO-2,2009,The Impact of Moral Reasoning and Retaliation on Whistle-Blowing: New Zealand Evidence,"Liyanarachchi, Gregory, Newdick, Chris",Journal of Business Ethics,NA,ARTICLE,10.1007/s10551-008-9983-x,,Springer
Knobe2009-KNOFJO-2,2009,Folk Judgments of Causation,"Knobe, Joshua",Studies in History and Philosophy of Science Part A,NA,ARTICLE,10.1016/j.shpsa.2009.03.009,,Elsevier
Knobe2009-KNOATF,2009,Answers to Five Questions,"Knobe, Joshua",NA,Philosophy of Action: 5 Questions,INCOLLECTION,NA,,Automatic Press/VIP
Chaudhuri2009-CHAEIE-4,2009,Experiments in Economics: Playing Fair with Money,"Chaudhuri, Ananish",NA,NA,BOOK,NA,,Routledge
Feltz2009-FELNCV,2009,Natural Compatibilism Versus Natural Incompatibilism: Back to the Drawing Board,"Feltz, Adam, Cokely, Edward T., Nadelhoffer, Thomas",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2008.01351.x,,Wiley-Blackwell
Sharmistha2009-SHADDU,2009,Determinism: Do Untutored Intuitions Feed the Bugbears?,"Sharmistha, Dhar",International Journal on Humanistic Ideology,NA,ARTICLE,NA,,NA
Knobe2007-KNOFPS-2,2007,Folk Psychology: Science and Morals,"Knobe, Joshua",NA,Folk Psychology Re-Assessed,INCOLLECTION,NA,,Springer Press
Sinnott-Armstrong2008-SINITO,2008,"Intention, Temporal Order, and Moral Judgments","Sinnott{-}Armstrong, Walter, Mallon, Ron, Mccoy, Tom, Hull, Jay G.",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2007.00330.x,,Wiley-Blackwell
Culbertson2009-CULALB,2009,Are Linguists Better Subjects?,"Culbertson, Jennifer, Gross, Steven",British Journal for the Philosophy of Science,NA,ARTICLE,10.1093/bjps/axp032,,Oxford University Press
Levy2009-LEVEIM-2,2009,Empirically Informed Moral Theory: A Sketch of the Landscape,"Levy, Neil",Ethical Theory and Moral Practice,NA,ARTICLE,10.1007/s10677-008-9146-2,,Springer
Knobe2008-KNOIAC,2008,Intuitions About Consciousness: Experimental Studies,"Knobe, Joshua, Prinz, Jesse",Phenomenology and the Cognitive Sciences,NA,ARTICLE,10.1007/s11097-007-9066-y,,Springer
Gray2007-WEGDOM,2007,Dimensions of Mind Perception,"Gray, Heather, Gray, Kurt, Wegner, Daniel",Science,NA,ARTICLE,10.1126/science.1134475,,NA
Knobe2007-KNOEPA-2,2007,Experimental Philosophy and Philosophical Significance,"Knobe, Joshua",Philosophical Explorations,NA,ARTICLE,10.1080/13869790701305905,,Routledge
Lutz2009-LUTILP,2009,Ideal Language Philosophy and Experiments on Intuitions,"Lutz, Sebastian",Studia Philosophica Estonica,NA,ARTICLE,10.12697/spe.2009.2.2.07,,NA
Knobe2008-KNOTCO-5,2008,The Concept of Intentional Action: A Case Study in the Uses of Folk Psychology,"Knobe, Joshua",NA,Experimental Philosophy,INCOLLECTION,NA,,Oxford University Press
Cushman2008-CUSMAA,2008,Moral Appraisals Affect Doing/Allowing Judgments,"Cushman, Fiery, Knobe, Joshua, Sinnott{-}Armstrong, Walter",Cognition,NA,ARTICLE,10.1016/j.cognition.2008.02.005,,NA
Symons2008-SYMIAP,2008,Intuition and Philosophical Methodology,"Symons, John",Axiomathes,NA,ARTICLE,10.1007/s10516-007-9019-7,,Springer
Inbar2009-KNODSP-2,2009,Disgust Sensitivity Predicts Intuitive Disapproval of Gays,"Inbar, Yoel, Pizarro, David A., Knobe, Joshua, Bloom, Paul",Emotion,NA,ARTICLE,NA,,NA
Greene2008-GRECLS,2008,Cognitive Load Selectively Interferes with Utilitarian Moral Judgment,"Greene, Joshua D., Morelli, Sylvia A., Lowenberg, Kelly, Nystrom, Leigh E., Cohen, Jonathan D.",Cognition,NA,ARTICLE,10.1016/j.cognition.2007.11.004,,NA
Ogletree2008-OGLTNC,2008,"The Nature, Common Usage, and Implications of Free Will and Determinism","Ogletree, Shirley Matile, Oberle, Crystal D.",Behavior and Philosophy,NA,ARTICLE,NA,,Cambridge Center for Behavioral Studies
Stainton2007-STAPAI,2007,Pragmatic Abilities in Autism Spectrum Disorder : A Case Study in Philosophy and the Empirical,"Stainton, Robert",NA,Philosophy and the Empirical,INCOLLECTION,NA,,Blackwell
Sosa2007-SOSEPA,2007,Experimental Philosophy and Philosophical Intuition,"Sosa, Ernest",Philosophical Studies,NA,ARTICLE,10.1007/s11098-006-9050-3,,Springer
Scholl2007-SCHOPI,2007,Object Persistence in Philosophy and Psychology,"Scholl, Brian J.",Mind and Language,NA,ARTICLE,10.1111/j.1468-0017.2007.00321.x,,Wiley-Blackwell
Yates2008-YATEPA,2008,Experimental Philosophy and the Mbi,"Yates, Dr John",Cogprints,NA,ARTICLE,NA,,NA
